MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	113.67871	Sec	2/13/1980 2:43:54 PM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-22.553612	-0.84924728	57.025391
-22.810339	-0.85511971	57.125
-23.079914	-0.86097461	57.224609
-23.341343	-0.86702442	57.324219
-23.626265	-0.87386674	57.423828
-23.8993	-0.88109922	57.523438
-24.181114	-0.88785177	57.623047
-24.477369	-0.89404511	57.722656
-24.755814	-0.90147489	57.822266
-25.018295	-0.90803933	57.921875
-25.313595	-0.91417468	58.021484
-25.569548	-0.92167598	58.121094
-25.843473	-0.92849207	58.220703
-26.106834	-0.9355014	58.320313
-26.365576	-0.94163835	58.419922
-26.648188	-0.94734907	58.519531
-26.915792	-0.95325351	58.619141
-27.171499	-0.96183348	58.71875
-27.43347	-0.96860164	58.818359
-27.683086	-0.97422141	58.917969
-27.975479	-0.98145998	59.017578
-28.234856	-0.98831809	59.117188
-28.542145	-0.99464709	59.216797
-28.833158	-1.0020357	59.316406
-29.114151	-1.01043	59.416016
-29.39596	-1.015807	59.515625
-29.681168	-1.0229175	59.615234
-29.985298	-1.030187	59.714844
-30.27253	-1.0368546	59.814453
-30.572659	-1.0437698	59.914063
-30.924032	-1.0503017	60.013672
-31.288771	-1.0576808	60.113281
-31.594952	-1.0648508	60.212891
-31.919073	-1.0723349	60.3125
-32.232468	-1.0802971	60.412109
-32.564518	-1.0875375	60.511719
-32.8899	-1.0940967	60.611328
-33.242447	-1.1020628	60.710938
-33.546593	-1.1082972	60.810547
-33.87635	-1.1158041	60.910156
-34.206413	-1.1232144	61.009766
-34.536972	-1.1310495	61.109375
-34.862209	-1.1368834	61.208984
-35.201954	-1.1446257	61.308594
-35.535599	-1.1525007	61.408203
-35.87048	-1.1602852	61.507813
-36.219051	-1.1675725	61.607422
-36.575821	-1.1748437	61.707031
-36.924091	-1.1823525	61.806641
-37.266201	-1.1904181	61.90625
-37.607578	-1.1979139	62.005859
-37.973526	-1.205081	62.105469
-38.31805	-1.2123724	62.205078
-38.66124	-1.2193896	62.304688
-38.990635	-1.2274582	62.404297
-39.317677	-1.2361504	62.503906
-39.687088	-1.242218	62.603516
-40.047478	-1.2501614	62.703125
-40.455269	-1.2585373	62.802734
-40.861313	-1.2668906	62.902344
-41.249943	-1.2742254	63.001953
-41.627708	-1.282218	63.101563
-42.024479	-1.2898804	63.201172
-42.396301	-1.2977276	63.300781
-42.835762	-1.3053228	63.400391
-43.2164	-1.3129976	63.5
-43.59948	-1.321159	63.599609
-44.00967	-1.3276755	63.699219
-44.436825	-1.3369464	63.798828
-44.884014	-1.3451101	63.898438
-45.320694	-1.3532598	63.998047
-45.738522	-1.3611126	64.097656
-46.165413	-1.3698999	64.197266
-46.581032	-1.3778996	64.296875
-46.986767	-1.3855351	64.396484
-47.441296	-1.3937229	64.496094
-47.870438	-1.4008543	64.595703
-48.313126	-1.4097772	64.695313
-48.784225	-1.4187962	64.794922
-49.216846	-1.4275025	64.894531
-49.651463	-1.4360584	64.994141
-50.059414	-1.4433471	65.09375
-50.495132	-1.4511613	65.193359
-50.915302	-1.4596024	65.292969
-51.341675	-1.4671829	65.392578
-51.772186	-1.4763077	65.492188
-52.277691	-1.4838732	65.591797
-52.78735	-1.4929403	65.691406
-53.294533	-1.5011225	65.791016
-53.770947	-1.5094045	65.890625
-54.229294	-1.5177693	65.990234
-54.698147	-1.5266258	66.089844
-55.207321	-1.5352587	66.189453
-55.690994	-1.5442166	66.289063
-56.160942	-1.5525999	66.388672
-56.645424	-1.5606395	66.488281
-57.177979	-1.5691409	66.587891
-57.654488	-1.578301	66.6875
-58.154572	-1.5868949	66.787109
-58.649849	-1.5953127	66.886719
-59.159973	-1.6051625	66.986328
-59.657433	-1.6146585	67.085938
-60.150581	-1.621223	67.185547
-60.65926	-1.6302439	67.285156
-61.17762	-1.6398056	67.384766
-61.72234	-1.6487232	67.484375
-62.205791	-1.6577773	67.583984
-62.722721	-1.6656443	67.683594
-63.234905	-1.6745253	67.783203
-63.785408	-1.682884	67.882813
-64.380692	-1.6916338	67.982422
-64.971588	-1.702035	68.082031
-65.548599	-1.7104348	68.181641
-66.113693	-1.7204297	68.28125
-66.680161	-1.7289078	68.380859
-67.212563	-1.7383636	68.480469
-67.742554	-1.7460737	68.580078
-68.292206	-1.7555709	68.679688
-68.845032	-1.7641629	68.779297
-69.45549	-1.7727487	68.878906
-70.092163	-1.7830642	68.978516
-70.713882	-1.7930576	69.078125
-71.348526	-1.8029301	69.177734
-71.943176	-1.8114009	69.277344
-72.543472	-1.8198395	69.376953
-73.106361	-1.828768	69.476563
-73.706039	-1.838699	69.576172
-74.277695	-1.8485634	69.675781
-74.874428	-1.8563896	69.775391
-75.43116	-1.8660227	69.875
-76.040497	-1.8753215	69.974609
-76.623421	-1.8836609	70.074219
-77.224945	-1.8947804	70.173828
-77.848213	-1.9040104	70.273438
-78.44455	-1.9128383	70.373047
-79.066017	-1.9229543	70.472656
-79.671188	-1.9330113	70.572266
-80.260498	-1.9422268	70.671875
-80.906975	-1.9516242	70.771484
-81.534958	-1.960986	70.871094
-82.254105	-1.9701802	70.970703
-82.970139	-1.9801142	71.070313
-83.646896	-1.9909775	71.169922
-84.303635	-2.0011067	71.269531
-84.927719	-2.010932	71.369141
-85.545448	-2.0207055	71.46875
-86.12516	-2.0293403	71.568359
-86.738541	-2.0387957	71.667969
-87.36232	-2.0490658	71.767578
